_id,Anio_lectivo,Zona,Provincia,Cod_Provincia,Canton,Cod_Canton,Parroquia,Cod_Parroquia,Nombre_Institucion,AMIE,Tipo_Educacion,Sostenimiento,Area,Regimen_Escolar,Jurisdiccion,Docentes_Femenino,Docentes_Masculino,Total_Docentes,Estudiantes_Femenino,Estudiantes_Masculino,Total_Estudiantes,Ecuatoriana,Colombiana,Venezolana,Peruana,Otros_Paises_de_America,Otros_Continentes
6790297c58d39b7843f1fbd3,2009-2010 Inicio,Zona 6,AZUAY,1,CUENCA,101,EL SAGRARIO,10104,UNIDAD EDUCATIVA PARTICULAR ROSA DE JESUS CORDERO,01B00002,Ordinario,Particular,Urbana,Sierra,Intercultural,86,10,96,1473,0,1473,1455,0,0,0,18,0
6790297c58d39b7843f1fbd4,2009-2010 Inicio,Zona 6,AZUAY,1,CUENCA,101,MONAY,10109,CEBCI,01B00010,Ordinario,Particular,Urbana,Sierra,Intercultural Bilingüe,19,6,25,148,179,327,311,3,0,0,9,4
6790297c58d39b7843f1fbd5,2009-2010 Inicio,Zona 6,AZUAY,1,CUENCA,101,BAÑOS,10151,CENTRO EDUCATIVO ROUSSEAU,01B00019,Ordinario,Particular,Rural,Sierra,Intercultural Bilingüe,9,1,10,17,23,40,39,0,0,0,1,0
6790297c58d39b7843f1fbd6,2009-2010 Inicio,Zona 6,AZUAY,1,CUENCA,101,BAÑOS,10151,COLEGIO INTERCULTURAL BILINGUE DE  NARANCAY,01B00020,Ordinario,Fiscal,Rural,Sierra,Intercultural Bilingüe,10,7,17,132,132,264,264,0,0,0,0,0
6790297c58d39b7843f1fbd7,2009-2010 Inicio,Zona 6,AZUAY,1,CUENCA,101,CHAUCHA,10153,SEIS DE JUNIO,01B00021,Ordinario,Fiscal,Rural,Costa,Intercultural Bilingüe,0,1,1,18,6,24,24,0,0,0,0,0
6790297c58d39b7843f1fbd8,2009-2010 Inicio,Zona 6,AZUAY,1,CUENCA,101,GIL RAMIREZ DAVALOS,10106,LA PAZ INTERCULTURAL BILINGUE AZUAY,01B00022,Ordinario,Fiscal,Urbana,Sierra,Intercultural Bilingüe,2,3,5,141,131,272,272,0,0,0,0,0
6790297c58d39b7843f1fbd9,2009-2010 Inicio,Zona 6,AZUAY,1,CUENCA,101,MOLLETURO,10157,LA PAZ,01B00023,Ordinario,Fiscal,Rural,Sierra,Intercultural Bilingüe,1,4,5,21,21,42,42,0,0,0,0,0
6790297c58d39b7843f1fbda,2009-2010 Inicio,Zona 6,AZUAY,1,CUENCA,101,QUINGEO,10161,ESCUELA MONSEÑOR LEONIDAS PROAÑO II,01B00027,Ordinario,Fiscal,Rural,Sierra,Intercultural Bilingüe,1,4,5,69,58,127,127,0,0,0,0,0
6790297c58d39b7843f1fbdb,2009-2010 Inicio,Zona 6,AZUAY,1,CUENCA,101,QUINGEO,10161,ESTRELLA DE SAN JOSE,01B00028,Ordinario,Fiscal,Rural,Sierra,Intercultural Bilingüe,1,0,1,12,5,17,17,0,0,0,0,0
6790297c58d39b7843f1fbdc,2009-2010 Inicio,Zona 6,AZUAY,1,CUENCA,101,QUINGEO,10161,SIN NOMBRE,01B00029,Ordinario,Fiscal,Rural,Sierra,Intercultural Bilingüe,2,0,2,30,25,55,55,0,0,0,0,0
